,accuracy,f1,precision,recall
0,0.5263157894736842,0.0,0.0,0.0
1,0.8888888888888888,0.0,0.0,0.0
2,0.9444444444444444,0.0,0.0,0.0
3,1.0,0.0,0.0,0.0
4,0.5555555555555556,0.19999999999999998,0.1111111111111111,1.0
5,1.0,1.0,1.0,1.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.2222222222222222,0.3636363636363636,1.0,0.2222222222222222
9,0.8333333333333334,0.9090909090909091,1.0,0.8333333333333334
